lock_hold,lwait_acq,lwait_rel,gwait_acq,gwait_rel,data_read,data_write,end_to_end,array_size,nodeID,run,lockNR,numa,cnNR,mnNR,threadNR,maxHandover,colocate
0000000,0002283,0000591,0001232,0005881,0006702,0005922,0001295,001024,001,000,00000008,01,004,002,016,016,1
0000000,0000641,0000180,0001015,0004228,0004969,0004288,0000033,001024,002,000,00000008,01,004,002,016,016,1
0000000,0001978,0000541,0001238,0005971,0006682,0006012,0001013,001024,002,000,00000008,01,004,002,016,016,1
0000000,0000621,0000181,0001015,0004228,0004960,0004268,0000034,001024,003,000,00000008,01,004,002,016,016,1
0000000,0001994,0000581,0001236,0005971,0006642,0005981,0001020,001024,003,000,00000008,01,004,002,016,016,1
0000000,0001009,0000200,0001014,0002815,0003236,0002815,0000009,001024,000,001,00000008,01,004,002,016,016,1
0000000,0001794,0000601,0001130,0006091,0007053,0006272,0000794,001024,000,001,00000008,01,004,002,016,016,1
0000000,0000741,0000181,0001012,0003997,0004719,0004038,0000009,001024,001,001,00000008,01,004,002,016,016,1
0000000,0002124,0000561,0001203,0006092,0006883,0006122,0001135,001024,001,001,00000008,01,004,002,016,016,1
0000000,0001005,0000191,0001016,0004238,0004969,0004268,0000034,001024,002,001,00000008,01,004,002,016,016,1
0000000,0001810,0000601,0001215,0006171,0006803,0006192,0000837,001024,002,001,00000008,01,004,002,016,016,1
0000000,0001005,0000190,0001016,0004238,0004969,0004288,0000034,001024,003,001,00000008,01,004,002,016,016,1
0000000,0001816,0000561,0001218,0006162,0006853,0006201,0000842,001024,003,001,00000008,01,004,002,016,016,1
0000000,0001001,0000191,0001008,0002284,0002905,0002374,0000009,001024,000,002,00000008,01,004,002,016,016,1
0000000,0001544,0000601,0001093,0005541,0006492,0005611,0000557,001024,000,002,00000008,01,004,002,016,016,1
0000000,0000531,0000140,0001009,0003927,0004709,0004017,0000009,001024,001,002,00000008,01,004,002,016,016,1
0000000,0002360,0000551,0001253,0005601,0006512,0005811,0001376,001024,001,002,00000008,01,004,002,016,016,1
0000000,0000602,0000170,0001011,0004217,0004939,0004268,0000033,001024,002,002,00000008,01,004,002,016,016,1
0000000,0002051,0000581,0001247,0005680,0006462,0005731,0001092,001024,002,002,00000008,01,004,002,016,016,1
0000000,0000531,0000181,0001011,0004208,0004939,0004268,0000033,001024,003,002,00000008,01,004,002,016,016,1
0000000,0002044,0000531,0001241,0005711,0006452,0005751,0001082,001024,003,002,00000008,01,004,002,016,016,1
